N,P,K,temperature,humidity,ph,rainfall,label
3,131,199,22.09570674,90.53363781,5.35507067,93.1679809,apple
3,139,200,21.40890097,87.96817832,6.43845123,137.50856943,apple
3,141,193,24.75117664,98.00300357,6.45225738,119.98633439,apple
3,141,197,21.98141856,91.12719303,6.1428034,115.4789148,apple
3,143,196,24.67839968,97.56500813,5.89369314,113.60630668,apple
3,145,199,20.83237053,86.92726166,5.57656901,152.09684734,apple
3,146,195,21.48481305,95.17807702,5.22731408,123.1826875,apple
3,147,196,23.19608651,95.18528619,5.56879237,153.19607028,apple
4,119,198,23.22306201,88.8456664,5.8151552,114.44016251,apple
4,119,200,24.21766799,96.61910384,5.52878745,77.47019052,apple
4,121,200,23.59945677,90.22746151,6.00459691,80.13610727,apple
4,131,200,22.07023694,95.66227378,5.56250188,116.42817073,apple
4,133,200,22.52775667,94.54847186,5.78124303,82.0100448,apple
4,141,193,24.26827156,94.75710313,5.64423453,153.86669583,apple
4,142,198,22.01846809,96.23626269,5.7353863,90.56009517,apple
4,146,196,22.26800408,95.65105849,6.24432421,94.92335557,apple
4,148,200,25.39589244,96.18831269,5.90136458,148.17186529,apple
5,121,200,22.91837239,93.54177288,5.45539574,148.00234908,apple
5,124,197,23.84466607,90.23172165,5.87021623,84.88873318,apple
5,128,200,22.67653093,90.44426563,5.82153072,88.35580021,apple
5,129,193,23.51824104,87.20882426,6.14686203,162.77054524,apple
5,129,199,22.7738949,89.3700019,5.75400792,92.52399394,apple
5,131,199,21.24559808,95.8675942,6.57052808,111.32160449,apple
5,136,195,22.35628673,91.92360477,6.2642028,107.7697413,apple
5,141,199,21.9065463,89.76251175,5.80336861,166.34349254,apple
5,143,198,23.94604205,90.63408736,5.98930813,97.6743613,apple
5,144,205,21.42177231,92.62665309,6.18492257,102.8045658,apple
6,122,192,21.38522602,94.94397953,6.01860394,82.16154906,apple
6,123,200,22.04482928,95.25134422,5.57340953,161.69838705,apple
6,124,200,22.98208095,93.84505029,5.97133218,109.5852253,apple
6,124,200,23.45044642,89.62113826,5.67084991,92.01194012,apple
6,126,197,21.9154823,92.21967995,6.40337813,68.35800746,apple
6,136,199,21.28823749,91.63649213,5.2732411,104.21314083,apple
6,138,197,20.06363175,95.62815899,5.75714837,114.1721628,apple
6,138,200,24.18990597,92.25575327,5.77363311,119.85177266,apple
6,139,200,21.2432095,90.83383063,6.75117506,147.3512122,apple
6,141,193,21.57462891,89.35259252,6.0304776,159.43806455,apple
6,141,198,23.13556414,92.98081007,5.66349819,81.6192536,apple
6,144,198,21.11478672,90.31528693,5.55936361,104.5086618,apple
6,145,194,23.76269824,91.46807027,5.75076591,162.37090915,apple
7,123,191,21.58247098,86.65515802,5.79468876,65.00507835,apple
7,123,200,21.43306238,94.5053781,5.47326479,148.98654813,apple
7,125,199,21.8440703,92.31374847,6.03700688,157.18509474,apple
7,128,200,20.38933997,93.07440312,6.23741623,117.00959818,apple
7,136,197,21.3089387,87.12669225,6.49047044,82.86024442,apple
7,136,200,22.06923755,94.41223071,5.51495701,88.81761558,apple
7,138,197,24.19221338,93.25760631,5.32346289,134.513654,apple
7,138,200,20.51675746,89.38461972,6.10681338,102.91387767,apple
7,139,198,24.10192648,90.05295074,5.13092825,166.92746982,apple
7,141,195,23.8812458,93.45067555,5.51425314,104.9116663,apple
7,142,197,22.38026514,87.84131373,6.36170384,150.03501594,apple
7,144,195,22.96388477,93.58065995,5.85648105,104.6472986,apple
7,144,196,21.99208471,94.23534652,6.49664586,73.9503887,apple
7,144,197,23.8494014,94.34814995,6.13322059,114.0512495,apple
8,120,201,21.18667419,91.13435689,6.32115219,122.233323,apple
8,125,191,24.11659001,92.592017,6.73891922,133.83580634,apple
8,128,198,21.92900251,93.4346311,5.51388689,118.43894597,apple
8,129,197,20.72846228,88.1366236,6.10495357,126.62699967,apple
8,137,200,22.95169233,86.88554368,6.07182858,147.75404619,apple
8,139,194,22.97719228,89.45577916,5.9514171,161.71884168,apple
8,139,197,24.30193676,96.34829225,5.64277168,117.30304367,apple
8,140,195,22.22074806,91.47647243,6.31082467,92.71635044,apple
8,148,195,22.66464009,96.87611372,5.91477542,127.22343995,apple
9,137,199,24.40641251,88.58858339,5.86132503,109.4130671,apple
9,137,200,21.12152071,90.6878768,5.63668739,102.8017203,apple
9,139,193,22.86429198,93.05597852,5.8165447,81.95590504,apple
9,139,197,22.62451461,88.13282989,5.98426273,81.10384703,apple
9,139,199,23.25230817,94.54128292,5.867421,105.3558408,apple
9,140,198,21.67398595,88.91658829,5.99631453,63.10054559,apple
9,143,197,23.75033085,92.88160462,5.57002068,117.6602827,apple
9,143,200,22.01157308,96.26894128,5.92548137,112.71457026,apple
9,144,200,19.15741418,87.58061626,5.99652586,120.04113483,apple
9,146,200,23.52827829,97.29195211,5.5623093,125.81054014,apple
9,147,198,22.52627381,98.41880024,6.1878455,60.19002745,apple
10,124,198,20.65414386,87.5595434,6.15619494,82.47150627,apple
10,125,194,22.52636638,88.15994537,5.61943334,115.69383297,apple
10,125,195,24.54741008,89.02577129,6.46821772,79.23419445,apple
10,125,196,22.31253665,90.03577124,5.73055745,113.0688155,apple
10,128,200,21.60531864,98.73272485,6.02335866,150.37444901,apple
10,136,204,21.19852186,92.15595143,6.2761986,105.8554351,apple
10,137,192,20.98295428,90.19368202,5.60668058,170.06968941,apple
10,137,200,21.88031295,93.25864097,6.18418659,61.54842723,apple
10,140,192,23.20557228,91.44615625,6.54723712,93.47530116,apple
10,140,197,22.16939473,90.27185592,6.22949884,124.4683112,apple
10,141,201,22.12659387,90.97818277,6.38602142,104.5412275,apple
10,143,190,22.51981217,90.05376408,5.72156414,70.87805955,apple
10,145,200,22.19050857,90.45593938,6.07230932,151.87325498,apple
11,121,200,20.32870245,87.27866779,5.9257601,80.42934583,apple
11,128,200,21.10629196,85.07285854,5.65949336,135.14720905,apple
11,134,195,23.31040182,90.90903874,5.44198459,74.98036082,apple
11,137,199,21.1729374,89.35180736,5.8268299,139.12493343,apple
11,138,200,19.48214282,88.1554046,5.9382323,90.83883905,apple
11,141,192,24.48214391,91.41321058,5.51855353,138.94407151,apple
11,142,194,23.20729076,90.1860895,5.61443615,137.16932768,apple
11,142,197,24.07489576,93.64434868,5.51739916,118.05157599,apple
11,142,200,24.08757362,87.49443263,6.08282756,164.7420288,apple
11,143,197,22.98458907,93.3204487,5.87571852,122.1952483,apple
11,144,197,24.93783797,91.45396579,5.9139784,103.90678201,apple
11,144,198,23.13376758,86.2187653,6.24845651,99.8456549,apple
11,144,200,25.68924331,96.2327861,5.50493324,72.44688204,apple
12,120,197,23.08656436,86.43833912,5.23829964,70.51400137,apple
12,129,205,22.36238282,91.15761594,6.11943222,118.6832725,apple
12,130,200,23.58551855,89.82995758,5.91377602,100.75925071,apple
12,139,198,23.50371939,96.6720986,6.05286372,100.13445277,apple
12,140,199,24.59116502,91.26160812,6.02813504,72.99891987,apple
12,142,197,22.79197964,99.44839341,6.15414088,70.35618258,apple
12,144,195,23.05533718,95.18385242,5.96158525,104.93972474,apple
12,144,197,23.90348886,92.39467102,5.6786251,154.43526484,apple
12,145,200,22.96493142,91.35910443,6.62990947,150.2127247,apple
13,121,196,22.20700989,93.50574163,6.44338291,120.1593771,apple
13,126,204,23.1094265,92.79630809,6.38318027,108.183792,apple
13,127,200,22.94762742,93.80986236,6.22201147,134.20665351,apple
13,140,192,23.30188317,90.1372063,6.3236884,112.38528585,apple
13,140,193,23.41723718,98.40864667,5.78667417,119.94608686,apple
13,143,196,21.30883479,99.43592145,6.10892068,145.98364935,apple
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
13,145,195,21.36668787,97.9989193,6.16924609,141.91659372,apple
14,118,200,24.01577245,94.04534629,6.13042326,134.08084364,apple
14,120,200,23.1773569,92.86012694,6.15905434,108.99166692,apple
14,122,200,23.21603292,97.18760073,6.86143911,77.93054414,apple
14,125,200,22.26672667,92.63434143,6.29816829,70.9675343,apple
14,126,194,23.27705411,92.46681091,6.12991589,112.32718069,apple
14,126,200,23.34289351,88.58391984,6.61168426,70.91551354,apple
14,127,200,22.70727228,87.25613811,6.55236099,84.93043416,apple
14,128,205,22.60800988,94.58900601,6.22628956,116.0396587,apple
14,129,200,25.73225522,87.83819242,6.22217606,149.26570877,apple
14,139,197,21.72484506,92.83975602,6.05652953,121.6961761,apple
14,140,197,23.35225078,90.90054697,6.07125513,113.0381382,apple
14,142,193,22.65346992,96.65984413,6.37303694,127.7764517,apple
15,123,204,22.52709326,92.54780429,6.36597269,115.3830068,apple
15,125,200,22.82983368,94.15509843,6.85376437,154.55870898,apple
15,126,200,24.98591956,96.90315797,6.25304517,132.988094,apple
15,131,200,25.23858087,96.17271564,5.60904423,153.18294223,apple
15,132,200,22.08824454,88.37050088,5.6614968,73.56559653,apple
15,133,199,23.99686172,91.61001707,5.82477864,117.6102915,apple
15,144,196,23.98855907,94.38793931,6.36240275,133.74400744,apple
15,147,199,21.99734652,92.2004687,5.42747525,143.01679466,apple
16,122,199,23.65341011,93.26191457,6.44461467,119.67444163,apple
16,123,200,22.42276622,96.55295277,6.12972727,112.93998635,apple
16,133,196,21.85542434,93.88753211,5.41023151,122.91191275,apple
16,137,195,25.11624649,89.81763859,5.49171193,67.79574529,apple
16,143,197,22.61711614,93.51978375,5.90402645,116.9256766,apple
16,143,204,23.71475278,91.53331177,5.63133339,121.8961665,apple
17,121,195,22.18895497,94.6400608,6.72578519,159.60923657,apple
17,122,199,21.77239044,94.99204171,5.88968763,91.93673131,apple
17,124,195,23.1179927,93.88732541,6.24784946,79.70610446,apple
17,126,200,23.06334536,90.25973985,5.82297424,71.7195723,apple
17,127,200,22.81882996,91.60707581,6.01307956,86.60911882,apple
17,129,200,24.01307043,95.62591778,5.85565729,126.06427101,apple
17,130,200,22.49316694,86.92433348,5.71550848,88.75197764,apple
17,132,200,21.38924197,93.49220617,6.00258435,112.35613077,apple
17,135,198,21.84420724,95.58347,6.16805863,76.15186713,apple
17,135,200,23.70921892,92.75709773,6.00828183,159.2622819,apple
17,136,196,23.87192332,90.49939035,5.88215599,103.0548094,apple
17,139,200,25.20792377,95.08794002,5.63095932,108.88504193,apple
17,142,193,23.50305919,97.52968071,5.82130255,133.7222437,apple
18,122,200,25.11498082,95.37286887,5.66825343,104.1760174,apple
18,125,200,23.21444654,95.61468907,6.00384399,134.06588053,apple
18,125,203,22.44307715,91.59234006,6.1602675,102.5565807,apple
18,125,204,22.35548159,94.47811755,6.04667362,116.7366261,apple
18,128,198,24.34784113,95.41094245,5.22795322,153.74233322,apple
18,132,200,22.44172606,94.00008901,6.296347,73.71594027,apple
18,136,195,22.62045282,96.73234315,6.30891102,132.22650447,apple
18,139,191,24.51235605,87.39489712,5.84261273,100.92985509,apple
18,139,196,22.09885368,92.14236145,6.26364183,97.14908095,apple
18,140,200,23.72897133,95.63592791,5.95860658,159.60276905,apple
18,148,193,23.47809309,87.76790994,6.25292108,131.0718284,apple
19,119,200,21.80497184,89.32008929,5.65893411,97.38781955,apple
19,122,202,23.34467359,90.37981478,5.81197509,112.8954016,apple
19,124,200,24.17032078,88.20645815,6.0453961,159.8509541,apple
19,135,194,24.20852548,85.62383652,6.0758501,142.02045112,apple
19,136,196,24.39354222,89.89136789,5.6947784,64.55895164,apple
19,137,200,22.02673055,97.24499587,5.95144392,125.40906309,apple
19,143,199,22.16136077,87.78527836,5.29457988,142.75800288,apple
19,146,199,20.21385357,93.84933902,6.76990771,134.99100034,apple
20,127,199,21.97996416,85.86576042,5.46340943,65.07017616,apple
20,129,201,23.41044706,91.69913296,5.58790597,116.0777931,apple
20,131,191,21.85916005,89.48281533,5.15017255,135.27496493,apple
20,138,197,24.38957213,95.33789354,6.02347275,59.87553197,apple
20,138,200,22.01645288,90.56506804,6.14832971,123.06133695,apple
20,139,200,23.94437195,93.61409643,5.54874829,167.73876277,apple
20,139,202,23.50201428,92.21083961,5.66999105,107.9868949,apple
20,141,196,25.31694118,93.15292101,5.9708395,96.12551174,apple
20,141,199,23.10259537,93.75327255,6.15994048,73.36729211,apple
20,146,196,22.30747026,97.47277727,6.43532523,64.46664107,apple
21,116,196,21.70227408,92.95743971,5.76775187,96.66391325,apple
21,125,200,23.59910599,93.31699005,5.31497442,127.6158907,apple
21,125,200,21.17397234,96.25379659,5.52360239,81.01869679,apple
21,126,197,23.48979333,98.34652441,6.0871638,155.14689027,apple
21,135,198,23.86087054,94.92048112,5.76501513,105.0241329,apple
21,137,196,23.6119202,91.70293849,5.81278181,123.5900822,apple
21,137,200,24.16596726,96.95746983,6.00363839,144.1206924,apple
21,137,200,20.68603571,87.63117814,6.13483034,87.35782974,apple
21,142,200,21.02093096,91.37143115,6.16393991,131.72765039,apple
22,118,200,22.76292131,98.96401202,5.17723788,138.10304765,apple
22,121,197,21.33128289,93.00329984,6.02435224,126.53154317,apple
22,123,198,22.24469295,87.26037778,6.42575459,103.33873155,apple
22,125,190,21.32918547,92.61220749,5.55161037,105.34495046,apple
22,125,199,24.38214337,93.71704395,5.59046798,115.99758005,apple
22,127,191,21.54155046,92.87556039,5.90263023,148.09888863,apple
22,128,200,21.02704195,90.61995434,5.97424948,121.34897609,apple
22,129,197,23.97375622,87.54217242,5.88950778,110.75553424,apple
22,130,194,23.43598023,95.34034155,5.49774134,136.00848896,apple
22,139,200,21.13298847,96.24967831,6.16401279,128.75490352,apple
22,144,196,21.91191314,91.68748063,6.49922682,117.0761277,apple
22,145,198,23.18867033,96.02546061,5.74207745,112.61065798,apple
22,146,195,22.89403819,96.39737028,5.8989258,143.31114162,apple
23,120,196,22.50820833,92.75475542,5.77346964,119.53713663,apple
23,121,200,22.93024328,96.3852785,6.01629119,81.80512906,apple
23,124,195,20.31838661,93.24777231,6.01875025,73.79410647,apple
23,128,198,21.23974921,93.6239885,6.06554138,114.94131977,apple
23,130,198,20.2134256,89.46497613,5.70217691,122.48361951,apple
23,130,200,22.61157651,93.23998559,6.02335787,63.84312942,apple
23,134,195,21.05675699,88.96907943,6.19058061,139.62789584,apple
23,137,199,24.89001974,89.21091036,5.5190554,71.21971657,apple
23,138,195,22.49095104,91.70292746,5.79598572,124.3915101,apple
23,142,200,22.09252224,95.17321547,5.90729237,150.60579069,apple
23,143,200,22.90245232,92.66348929,5.95429954,57.90626712,apple
24,122,200,23.85362752,91.94439127,6.00326627,105.69983027,apple
24,124,198,24.61879956,90.55440955,5.72390414,124.17659131,apple
24,125,200,22.99749281,90.81523516,5.31222675,122.77481162,apple
24,127,198,21.67859493,96.69593017,6.73243825,113.70532679,apple
24,128,196,22.75088787,90.69489172,5.521467,110.4317855,apple
24,128,196,22.57167446,95.15200852,5.81287618,98.43829486,apple
24,131,195,21.9903272,97.35371743,5.87139764,128.76002634,apple
24,132,198,22.02416839,89.66460171,6.05347965,168.06896465,apple
24,134,200,23.63545324,91.37758805,6.1456985,120.68811982,apple
24,138,200,22.766894,92.03625543,5.9166348,139.11221681,apple
24,139,200,25.72610515,94.80622151,5.94033299,151.31926034,apple
24,140,200,23.35613821,91.18696204,5.95770149,59.42021085,apple
24,141,198,22.12752594,94.12026812,5.55706483,54.04239662,apple
24,142,202,22.53779727,91.48135786,5.71081986,101.8474768,apple
24,143,200,22.77630149,93.78738898,5.72583546,155.14051219,apple
25,131,193,24.99905925,95.61005003,6.01156145,89.06451543,apple
25,131,200,24.6143725,93.62101094,5.28104848,114.76937542,apple
25,132,198,22.31944084,90.85174383,5.73275752,100.1173443,apple
25,134,196,22.01555378,94.34782041,5.91733958,129.79849233,apple
25,139,196,22.53992613,97.47386462,6.19647397,153.76796027,apple
25,141,200,22.50436372,87.49203548,6.20887455,83.31091254,apple
25,142,200,23.71156565,97.9470817,5.87625195,107.95292702,apple
25,143,198,22.81212536,91.51861705,6.0273144,107.855225,apple
25,143,200,23.80436344,92.80441624,6.02424879,100.6192543,apple
25,143,200,22.01661635,87.88000114,5.30619112,113.41196871,apple
25,146,200,22.81471499,95.65818172,6.4436487,122.19123231,apple
25,149,200,21.31184991,93.48354213,6.66773769,119.26852667,apple
26,121,201,22.19109412,90.02575116,6.16203437,112.3126628,apple
26,122,194,22.53375884,92.50147518,5.63751807,107.2389175,apple
26,122,202,22.44516988,94.73763514,5.61722718,107.1843273,apple
26,125,196,21.87120059,89.07600342,5.26120809,105.36648759,apple
26,126,195,21.41363812,92.99124545,5.87856898,118.3979065,apple
26,127,197,22.44655452,93.06935818,5.24415556,104.39229231,apple
26,127,197,23.57382998,95.6297548,5.72690554,114.75327654,apple
26,134,194,22.68363711,95.2652219,5.80952115,161.42544031,apple
26,134,200,23.30388124,93.60567694,6.37263461,125.72015514,apple
26,136,199,20.66662712,87.73928884,5.80780857,77.49619925,apple
26,137,200,24.68429654,94.31576612,5.87438449,91.61546497,apple
26,140,191,22.68595916,96.04563274,5.51972792,139.60177718,apple
26,142,200,20.58372806,97.4748837,6.0580706,138.98742931,apple
26,144,200,22.25946089,96.41077724,5.84346936,152.44351386,apple
26,145,200,21.18301825,89.75678742,6.04820188,136.15590588,apple
26,146,198,23.35286788,92.95633388,5.75506124,97.29337618,apple
27,120,195,25.43510746,88.09112888,5.38462574,120.69175165,apple
27,120,200,21.45278675,90.74531921,6.11021883,116.7036582,apple
27,120,200,22.98732818,90.97213442,5.99390707,83.47107626,apple
27,120,200,20.50652903,93.53083074,6.11154456,79.02673613,apple
27,123,198,22.12408415,97.49526801,6.34908318,118.84668854,apple
27,123,199,24.25341209,94.98449568,5.76814111,65.05402717,apple
27,124,192,19.57687469,94.01637612,6.29024382,72.81989997,apple
27,124,195,19.47720221,88.80215338,5.99351781,104.95092196,apple
27,124,200,22.21587461,97.76864194,5.37377655,117.91307386,apple
27,126,200,20.79351272,96.27875586,5.89919947,124.77113351,apple
27,127,194,21.46242613,98.37631855,6.13568951,150.85769289,apple
27,128,200,23.40941399,92.54463758,6.19000973,94.34887024,apple
27,131,200,23.00768618,88.99370997,5.85442162,126.06423581,apple
27,133,200,23.96956187,95.74358659,5.56416294,117.16562338,apple
27,138,201,23.66682067,93.90191078,5.95236766,105.4004751,apple
27,139,205,22.48403042,93.40819246,5.77217995,105.5473627,apple
27,144,197,24.48243988,89.12183908,5.35658155,140.21934516,apple
28,119,199,23.65459018,87.64926973,6.20588381,144.50263405,apple
28,123,198,23.46260321,91.45665004,5.68275147,111.7763395,apple
28,123,202,22.76643029,92.12438519,6.44228929,120.4359949,apple
28,124,200,23.82489123,95.37327085,6.55697893,54.43695769,apple
28,124,200,22.191144,94.61874116,5.93286053,86.84797397,apple
28,125,198,22.59679738,90.6521321,5.46405905,114.84092918,apple
28,127,193,21.59535654,93.17728233,6.33292094,88.70602553,apple
28,130,196,22.13450646,94.67695747,6.06235647,112.9203223,apple
28,130,200,21.9617735,87.86591854,6.01760363,111.74333082,apple
28,136,200,23.06204373,92.39544055,6.2458589,114.7399101,apple
28,137,200,22.31348144,91.31963813,5.68933572,87.15983559,apple
28,139,193,20.29783711,95.33588648,5.73846418,119.90471056,apple
28,142,200,23.63901144,92.21443624,6.24291903,70.65371431,apple
29,119,200,21.89906216,90.32675663,5.704537,66.32307345,apple
29,120,200,22.11586973,90.00293549,5.5991957,111.43965046,apple
29,121,196,22.84852833,94.32130209,6.0794972,123.5977843,apple
29,121,197,22.65038154,98.940734,5.81830201,132.63189362,apple
29,122,200,19.56366447,88.06311453,6.02275276,122.39794494,apple
29,128,195,22.33490576,89.70321716,5.94545526,112.36102791,apple
29,128,198,22.44075021,92.70785115,5.6850624,121.4977331,apple
29,128,200,23.59714501,95.79258687,5.97848182,64.02578234,apple
29,130,194,22.36474955,96.6739412,5.62204403,164.39551266,apple
29,132,204,23.08950736,90.22507299,6.0967531,108.2166601,apple
29,133,200,23.62118688,95.11335165,5.77819697,116.89467039,apple
29,138,197,22.19055385,92.43764169,5.83089225,121.6622761,apple
29,138,200,22.48848622,92.88293637,6.43669145,88.21888471,apple
29,139,198,22.96627462,95.96738034,6.45034104,136.39696111,apple
29,139,200,23.39525301,93.08563644,5.22101278,88.24028981,apple
29,139,205,23.64142354,93.74461474,6.15593945,116.6912176,apple
29,140,195,23.64082979,90.95257927,5.56052106,116.7431319,apple
29,141,200,22.54434537,92.7451478,5.71974771,97.1696247,apple
29,142,200,23.78493187,92.6334113,6.49524233,97.85193129,apple
29,144,204,22.43324518,92.48667725,5.80044895,119.1025189,apple
29,145,205,22.81227579,92.12992101,6.21230261,109.3383552,apple
30,122,197,21.37784654,92.72043743,5.57324139,106.1417017,apple
30,123,198,23.32139848,99.20296673,6.44229139,160.53383391,apple
30,124,194,21.66796204,95.33475246,5.70195016,121.41880548,apple
30,127,200,20.85021817,90.34249445,6.30605161,136.02135782,apple
30,127,204,22.50050273,92.45878335,6.12643658,100.9343903,apple
30,130,194,19.56744622,96.83034949,6.2478073,155.85346276,apple
30,132,199,24.41393489,90.92310875,5.90173855,131.3657447,apple
30,133,200,22.22589374,95.09297779,6.58789466,120.89148755,apple
30,137,200,22.91430043,90.70475565,5.60341317,118.6044645,apple
30,138,198,21.86077728,93.8860225,6.14208976,92.24017733,apple
30,138,199,19.3643602,87.55377874,6.19416045,156.25285569,apple
30,140,200,23.387838,91.246206,5.56572193,146.2328732,apple
30,140,200,23.2230764,96.3637212,5.86742847,66.74242259,apple
30,142,200,22.42960507,91.56256377,6.50063631,121.19508351,apple
30,143,199,23.76881552,90.59810302,5.7983508,102.2648546,apple
30,145,200,25.03312408,94.41332607,6.16391133,68.41409705,apple
30,145,200,21.60316137,87.83548452,6.27560858,98.56804218,apple
31,120,195,24.28748114,90.49411525,6.06398618,144.95582554,apple
31,121,201,23.15791104,90.34396882,5.73153526,110.712841,apple
31,122,199,22.09026559,87.00394956,5.4970163,157.1737397,apple
31,122,199,24.58616327,88.5672061,5.28807901,146.98427572,apple
31,123,200,20.62914646,90.14541475,5.81821552,156.43760421,apple
31,124,200,23.07061135,88.59610553,5.49109271,122.23770816,apple
31,127,198,23.95319418,95.5010356,6.50919259,153.37613625,apple
31,130,198,21.80129837,92.73446667,5.55482356,120.0586671,apple
31,132,200,24.54596774,92.5957789,6.05640674,165.35730037,apple
31,133,197,22.88424775,94.29628675,5.38554607,121.70372779,apple
31,133,198,20.03569194,89.76933497,5.22126931,67.63185896,apple
31,134,200,25.56311963,92.17010744,6.62100036,141.20127573,apple
31,137,196,22.14464104,93.82567435,6.40032121,120.6310784,apple
31,140,192,23.03958354,90.29252572,6.48141948,120.21279523,apple
31,145,200,21.81790552,91.08473268,5.9270771,144.68672491,apple
31,145,200,20.12036726,94.5249224,6.01149678,115.51924398,apple
32,117,200,22.15890881,91.47086225,5.19331802,95.16037645,apple
32,119,199,23.81543414,93.35624926,5.42753304,145.59271719,apple
32,122,198,20.85349037,91.5464044,5.94980276,61.11489378,apple
32,124,200,24.1140147,93.17656814,6.25292763,85.38496877,apple
32,130,193,21.00025203,91.03917813,6.39139799,103.36476063,apple
32,130,193,24.43702922,92.39649993,5.51310009,59.09805305,apple
32,130,200,20.44518509,98.20666273,5.818562,134.55287537,apple
32,137,198,22.39212098,95.88871387,5.93343621,99.24538656,apple
32,137,199,23.43270991,91.78367576,5.44025337,127.07821149,apple
32,137,204,22.86006627,93.12859895,5.82415169,117.7296726,apple
32,138,190,25.51982541,88.76519327,5.70419486,89.87270925,apple
32,140,200,22.52750469,93.43975559,5.83571138,106.31940099,apple
32,141,200,23.08096472,89.03093797,6.36622119,153.15775952,apple
32,141,200,20.94280281,94.15358812,5.87314111,80.72075483,apple
32,141,203,21.25941052,92.84416234,5.82134777,109.0658471,apple
32,142,200,23.2513277,89.24468267,5.95452179,117.28566151,apple
32,142,200,22.1685215,91.00959573,6.09490374,87.88491113,apple
32,144,200,20.08540241,95.69200311,5.6065499,77.97503988,apple
32,145,200,24.2681661,94.29276082,6.09623125,136.44348117,apple
32,145,203,23.83053666,90.84422164,6.40681852,109.5966791,apple
33,121,203,22.45696744,94.76285385,5.60593409,114.8407725,apple
33,122,198,21.9249679,97.81637885,5.90149508,98.46951273,apple
33,126,200,22.30399113,90.77234989,5.84189815,108.07531169,apple
