N,P,K,temperature,humidity,ph,rainfall,label,Region,Soil_Type,Growing_Season,Yield_kg_per_hectare,Growth_Days,Irrigation_Method,Pest_Incidents,Fertilizer_Application,Fertilizer_kg_ha,Organic_Matter_Percentage,Crop_Rotation,Seed_Rate_kg_ha,Market_Price_USD_per_kg,Water_Source
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,Southern,Alluvial,Kharif,4436,138,Flood,High,High,149,1.6,Pulses,55,0.27,Canal
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,Southern,Alluvial,Monsoon,2332,111,Flood,High,Medium,101,1.2,Pulses,59,0.39,River
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,Southern,Alluvial,Kharif,4469,125,Flood,Low,Medium,141,2.9,Vegetables,40,0.42,Reservoir
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,Eastern,Alluvial,Monsoon,3591,124,Flood,Low,Medium,128,1.9,Fallow,48,0.45,Canal
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,Southern,Alluvial,Kharif,2116,122,Flood,Low,High,171,2.0,Pulses,58,0.31,Canal
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,Southern,Clay,Kharif,4022,116,Flood,Low,High,149,1.7,Fallow,60,0.49,Reservoir
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,Southern,Clay,Monsoon,3232,111,Flood,Low,Medium,152,1.2,Pulses,53,0.41,River
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,Southern,Clay,Kharif,3832,150,Flood,High,High,167,3.0,Pulses,43,0.31,Reservoir
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,Eastern,Clay,Kharif,4118,115,Flood,Low,High,123,1.7,Fallow,50,0.44,River
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,Southern,Alluvial,Kharif,5124,138,Flood,Medium,Medium,129,1.5,Fallow,55,0.31,Reservoir
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,Eastern,Alluvial,Kharif,4957,128,Flood,High,High,161,2.3,Vegetables,54,0.3,Canal
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,Southern,Alluvial,Kharif,5086,145,Flood,Low,High,158,1.4,Vegetables,58,0.37,Reservoir
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,Southern,Alluvial,Monsoon,5215,124,Flood,Medium,Medium,162,1.2,Vegetables,59,0.28,River
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,Southern,Alluvial,Kharif,2986,147,Flood,Medium,Medium,118,1.8,Pulses,44,0.49,River
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Southern,Clay,Monsoon,3612,145,Flood,Low,Medium,171,2.4,Fallow,43,0.4,Canal
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,Southern,Clay,Kharif,2793,121,Flood,High,High,139,1.6,Fallow,48,0.33,Reservoir
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,Southern,Alluvial,Kharif,2818,128,Flood,High,High,180,2.3,Fallow,48,0.35,Reservoir
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,Southern,Alluvial,Monsoon,5671,132,Flood,High,High,149,1.9,Fallow,42,0.48,River
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,Eastern,Clay,Kharif,3176,117,Flood,Low,Medium,147,2.1,Pulses,44,0.39,River
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,Eastern,Clay,Kharif,4892,132,Flood,High,Medium,150,2.5,Fallow,58,0.29,Reservoir
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,Eastern,Alluvial,Monsoon,3062,122,Flood,High,High,165,2.9,Fallow,44,0.42,Canal
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,Eastern,Clay,Monsoon,5247,117,Flood,Medium,High,172,1.7,Vegetables,45,0.31,River
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,Southern,Alluvial,Kharif,3009,113,Flood,High,High,180,1.2,Vegetables,52,0.26,Canal
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,Southern,Alluvial,Kharif,5395,127,Flood,High,Medium,121,2.9,Vegetables,44,0.23,River
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,Eastern,Alluvial,Monsoon,5135,126,Flood,Low,Medium,168,1.7,Pulses,48,0.25,Canal
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,Southern,Clay,Monsoon,5244,134,Flood,High,Medium,144,2.7,Vegetables,42,0.25,River
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,Eastern,Alluvial,Kharif,4226,136,Flood,Medium,High,160,2.5,Vegetables,56,0.48,Canal
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,Eastern,Alluvial,Monsoon,2356,122,Flood,Low,High,162,2.5,Vegetables,57,0.5,Reservoir
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,Eastern,Clay,Kharif,4094,150,Flood,Medium,Medium,109,1.9,Fallow,55,0.32,River
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,Eastern,Clay,Monsoon,5905,135,Flood,Low,High,104,2.4,Fallow,60,0.25,Canal
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,Southern,Alluvial,Monsoon,4771,123,Flood,Low,High,167,1.7,Pulses,48,0.31,Canal
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,Eastern,Alluvial,Kharif,4616,134,Flood,Medium,High,120,1.2,Vegetables,52,0.34,Canal
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,Eastern,Alluvial,Kharif,5455,119,Flood,High,High,173,1.1,Fallow,51,0.31,River
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,Southern,Alluvial,Monsoon,4760,144,Flood,Medium,High,125,2.4,Vegetables,43,0.3,River
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,Eastern,Alluvial,Monsoon,3532,128,Flood,High,Medium,154,1.0,Pulses,56,0.23,River
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,Southern,Alluvial,Monsoon,5647,145,Flood,High,Medium,130,1.5,Pulses,55,0.24,Reservoir
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,Eastern,Alluvial,Kharif,4213,117,Flood,High,Medium,143,1.2,Vegetables,57,0.3,Reservoir
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,Eastern,Clay,Kharif,3019,120,Flood,Medium,Medium,168,1.9,Vegetables,41,0.46,Canal
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,Eastern,Clay,Kharif,5589,130,Flood,Medium,High,177,1.4,Vegetables,54,0.25,Reservoir
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,Eastern,Alluvial,Monsoon,5274,118,Flood,Medium,Medium,157,2.3,Vegetables,41,0.3,River
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,Eastern,Clay,Monsoon,5693,127,Flood,Low,High,138,2.6,Vegetables,49,0.43,River
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,Southern,Clay,Monsoon,5386,113,Flood,Low,Medium,139,2.7,Pulses,49,0.38,River
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,Eastern,Clay,Kharif,3851,125,Flood,Low,High,168,1.4,Fallow,56,0.29,River
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,Southern,Clay,Monsoon,3675,149,Flood,Low,Medium,179,2.6,Pulses,43,0.28,Canal
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice,Eastern,Alluvial,Kharif,2112,129,Flood,High,High,104,1.8,Pulses,55,0.42,River
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,Eastern,Clay,Kharif,4072,123,Flood,Medium,High,153,2.5,Vegetables,58,0.46,Reservoir
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,Eastern,Alluvial,Kharif,5536,144,Flood,Medium,High,142,2.7,Pulses,49,0.29,River
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,Eastern,Alluvial,Monsoon,2719,123,Flood,Medium,High,169,2.3,Fallow,45,0.24,Canal
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,Southern,Alluvial,Kharif,5928,149,Flood,Medium,High,178,1.5,Fallow,49,0.25,Canal
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,Eastern,Alluvial,Monsoon,4768,127,Flood,Low,Medium,173,1.1,Pulses,53,0.2,Reservoir
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,Southern,Clay,Kharif,2706,125,Flood,Medium,High,173,1.2,Fallow,56,0.4,Reservoir
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice,Eastern,Clay,Kharif,4471,138,Flood,Medium,High,111,1.5,Pulses,54,0.42,River
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,Southern,Clay,Kharif,5455,147,Flood,Medium,High,178,2.7,Vegetables,50,0.48,Canal
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,Eastern,Alluvial,Kharif,2250,119,Flood,Medium,Medium,159,2.9,Fallow,42,0.32,River
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,Eastern,Alluvial,Monsoon,4079,148,Flood,Medium,High,110,2.1,Pulses,46,0.21,Canal
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,Southern,Clay,Kharif,3502,125,Flood,Medium,High,116,2.1,Fallow,54,0.42,Canal
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,Southern,Clay,Kharif,2576,118,Flood,Low,High,168,1.7,Vegetables,56,0.38,Canal
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,Southern,Clay,Kharif,5232,136,Flood,High,Medium,143,3.0,Vegetables,56,0.35,Reservoir
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice,Southern,Clay,Kharif,3855,144,Flood,Low,Medium,118,1.8,Fallow,54,0.34,Reservoir
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,Southern,Clay,Kharif,3505,112,Flood,Medium,Medium,135,1.4,Vegetables,60,0.35,River
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,Southern,Alluvial,Kharif,2968,112,Flood,High,Medium,168,1.9,Pulses,42,0.42,Canal
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,Southern,Alluvial,Monsoon,3295,120,Flood,High,High,152,2.2,Fallow,53,0.49,Reservoir
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,Eastern,Alluvial,Kharif,4352,148,Flood,Low,High,122,2.6,Vegetables,42,0.48,River
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,Eastern,Alluvial,Monsoon,3591,149,Flood,High,High,134,2.8,Pulses,41,0.32,Reservoir
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,Southern,Clay,Monsoon,2453,126,Flood,Medium,Medium,136,2.9,Fallow,60,0.27,River
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,Southern,Alluvial,Kharif,5709,112,Flood,Low,High,119,2.2,Fallow,55,0.23,River
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,Southern,Clay,Kharif,3293,130,Flood,Medium,Medium,166,2.1,Pulses,46,0.46,Canal
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,Eastern,Clay,Kharif,5597,116,Flood,Low,Medium,117,1.6,Fallow,47,0.35,Canal
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,Eastern,Clay,Monsoon,3865,122,Flood,Medium,Medium,101,1.4,Pulses,54,0.39,Canal
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,Southern,Clay,Monsoon,2479,141,Flood,Low,Medium,129,2.8,Vegetables,57,0.37,River
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,Eastern,Clay,Kharif,2001,116,Flood,Medium,High,105,1.4,Fallow,48,0.31,River
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,Eastern,Alluvial,Monsoon,5791,148,Flood,Medium,Medium,177,2.5,Pulses,51,0.28,Reservoir
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,rice,Eastern,Clay,Monsoon,2849,120,Flood,Medium,Medium,150,2.5,Fallow,41,0.29,Reservoir
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,Southern,Clay,Monsoon,2387,113,Flood,Medium,Medium,135,1.3,Fallow,51,0.43,River
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,Eastern,Clay,Kharif,4499,130,Flood,Medium,Medium,121,2.6,Pulses,45,0.32,Canal
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,Southern,Clay,Kharif,4438,113,Flood,High,Medium,115,1.7,Pulses,56,0.41,River
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice,Southern,Alluvial,Monsoon,2477,143,Flood,Medium,Medium,174,2.5,Fallow,42,0.36,Reservoir
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice,Southern,Clay,Monsoon,4991,111,Flood,Low,High,133,2.0,Fallow,42,0.25,Reservoir
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice,Eastern,Clay,Monsoon,2644,134,Flood,Medium,High,117,2.8,Pulses,42,0.32,Reservoir
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice,Eastern,Alluvial,Monsoon,5192,114,Flood,Medium,Medium,130,2.6,Fallow,55,0.39,Reservoir
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,Southern,Clay,Kharif,3008,141,Flood,Low,High,134,1.7,Fallow,55,0.45,Reservoir
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice,Eastern,Clay,Kharif,4879,126,Flood,Low,Medium,145,1.9,Vegetables,58,0.46,Reservoir
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,Eastern,Alluvial,Kharif,4170,112,Flood,Low,Medium,120,2.4,Fallow,51,0.37,River
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice,Southern,Alluvial,Kharif,4821,143,Flood,Medium,High,176,1.3,Vegetables,56,0.35,Canal
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice,Southern,Alluvial,Kharif,2184,115,Flood,High,Medium,130,2.0,Pulses,42,0.22,Reservoir
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,Southern,Alluvial,Kharif,2025,131,Flood,Low,Medium,130,3.0,Fallow,50,0.24,Canal
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,Southern,Clay,Kharif,5386,133,Flood,High,Medium,173,1.8,Fallow,44,0.37,Reservoir
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize,Central,Sandy Loam,Rabi,2905,98,Flood,Low,Medium,186,1.4,Pulses,18,0.3,Rain
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize,Northern,Sandy Loam,Rabi,7900,80,Flood,Medium,Medium,161,2.0,Pulses,25,0.26,Rain
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,Northern,Loamy,Rabi,4014,104,Sprinkler,Low,Medium,122,1.3,Vegetables,19,0.2,Canal
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,Central,Loamy,Rabi,6377,82,Sprinkler,Medium,High,194,3.4,Rice,19,0.19,Well
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,Central,Loamy,Rabi,6041,94,Flood,Medium,High,158,1.8,Pulses,18,0.17,Rain
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,Southern,Sandy Loam,Kharif,3345,110,Flood,Low,Medium,161,2.4,Rice,21,0.25,Well
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,Central,Sandy Loam,Rabi,6527,90,Sprinkler,Medium,Medium,140,2.6,Cotton,20,0.23,Well
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize,Central,Loamy,Kharif,5756,98,Flood,Medium,Medium,186,3.2,Rice,23,0.33,Rain
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize,Central,Loamy,Kharif,6485,84,Flood,Medium,Medium,199,3.4,Rice,18,0.18,Canal
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,Central,Sandy Loam,Rabi,3801,92,Sprinkler,Low,High,155,2.5,Rice,18,0.24,Rain
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,Southern,Loamy,Rabi,3625,95,Flood,Medium,High,199,1.5,Cotton,20,0.32,Rain
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize,Central,Sandy Loam,Kharif,5183,80,Flood,Medium,Medium,144,2.4,Vegetables,20,0.18,Rain
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize,Northern,Sandy Loam,Rabi,7679,107,Sprinkler,Low,Medium,148,2.2,Rice,25,0.24,Canal
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,Northern,Sandy Loam,Kharif,6290,83,Flood,Low,High,156,3.4,Cotton,25,0.21,Canal
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize,Southern,Sandy Loam,Kharif,3598,106,Flood,Low,High,129,2.4,Vegetables,20,0.16,Rain
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize,Southern,Loamy,Rabi,5743,96,Sprinkler,Low,High,193,2.4,Cotton,22,0.15,Rain
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize,Northern,Loamy,Kharif,7123,104,Flood,Medium,Medium,140,3.5,Cotton,25,0.18,Canal
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize,Northern,Sandy Loam,Kharif,3747,106,Flood,Medium,High,161,2.3,Cotton,19,0.15,Well
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize,Central,Loamy,Kharif,5317,88,Flood,Low,Medium,135,2.2,Cotton,19,0.33,Canal
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,Northern,Loamy,Kharif,5622,91,Flood,Low,High,196,2.4,Cotton,20,0.35,Canal
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize,Central,Sandy Loam,Rabi,7109,102,Flood,Medium,High,162,1.7,Vegetables,19,0.29,Rain
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,Central,Sandy Loam,Rabi,2616,87,Flood,Low,High,195,3.4,Rice,20,0.25,Well
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,Southern,Loamy,Rabi,6549,100,Flood,Medium,Medium,139,2.9,Pulses,24,0.22,Well
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize,Central,Loamy,Rabi,3557,92,Sprinkler,Low,Medium,121,3.1,Pulses,22,0.31,Well
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,Northern,Loamy,Rabi,6466,80,Flood,Low,High,155,2.4,Cotton,24,0.21,Rain
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,Southern,Loamy,Kharif,2772,86,Flood,Low,Medium,146,3.4,Vegetables,19,0.27,Canal
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,Central,Sandy Loam,Rabi,3547,108,Flood,Medium,Medium,130,2.7,Vegetables,18,0.16,Canal
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,Southern,Loamy,Kharif,7894,110,Flood,Low,Medium,123,3.4,Vegetables,22,0.24,Rain
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,Northern,Sandy Loam,Kharif,7323,91,Sprinkler,Medium,High,193,1.3,Rice,18,0.21,Well
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,maize,Northern,Sandy Loam,Kharif,4100,106,Flood,Low,High,135,2.2,Vegetables,25,0.28,Well
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,Central,Sandy Loam,Kharif,3424,95,Flood,Low,High,175,1.6,Cotton,18,0.35,Rain
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,Southern,Loamy,Kharif,3462,84,Sprinkler,Low,High,189,2.7,Pulses,19,0.19,Well
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,Southern,Loamy,Kharif,7902,100,Sprinkler,Low,High,161,1.7,Rice,25,0.31,Canal
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize,Northern,Sandy Loam,Rabi,7630,109,Sprinkler,Low,High,178,2.3,Vegetables,25,0.19,Canal
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize,Central,Sandy Loam,Kharif,3066,85,Flood,Medium,Medium,173,1.4,Cotton,20,0.35,Canal
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,Central,Loamy,Rabi,3648,83,Flood,Medium,Medium,195,3.4,Pulses,22,0.16,Rain
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,Central,Sandy Loam,Rabi,6198,109,Flood,Medium,High,181,3.3,Vegetables,20,0.17,Well
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,Northern,Sandy Loam,Kharif,5369,81,Flood,Low,Medium,142,3.1,Vegetables,25,0.2,Well
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,maize,Northern,Sandy Loam,Kharif,5863,102,Flood,Medium,High,132,2.6,Pulses,23,0.25,Canal
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,Northern,Sandy Loam,Rabi,2591,89,Flood,Medium,Medium,121,3.4,Pulses,19,0.34,Well
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,Southern,Sandy Loam,Kharif,3154,84,Sprinkler,Medium,High,197,1.8,Vegetables,22,0.16,Well
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,Northern,Sandy Loam,Kharif,6144,86,Flood,Medium,Medium,136,2.7,Vegetables,25,0.24,Well
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,Northern,Sandy Loam,Kharif,4961,82,Flood,Medium,Medium,143,3.3,Rice,18,0.17,Rain
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,Central,Loamy,Kharif,4725,99,Flood,Low,Medium,175,2.6,Vegetables,18,0.19,Canal
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,Southern,Sandy Loam,Rabi,3654,92,Sprinkler,Medium,High,175,2.7,Cotton,25,0.3,Canal
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,Central,Loamy,Kharif,4705,96,Flood,Medium,Medium,139,2.5,Pulses,25,0.31,Canal
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,Central,Loamy,Rabi,6766,110,Flood,Low,Medium,136,3.4,Vegetables,21,0.34,Canal
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,Central,Loamy,Rabi,7342,98,Flood,Low,Medium,185,1.3,Pulses,21,0.15,Canal
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,Central,Loamy,Kharif,3985,109,Sprinkler,Medium,High,196,3.1,Pulses,19,0.2,Canal
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,Southern,Loamy,Kharif,4184,94,Flood,Medium,Medium,145,1.5,Pulses,19,0.24,Well
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize,Northern,Sandy Loam,Kharif,4846,110,Flood,Medium,Medium,126,1.8,Pulses,23,0.27,Rain
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,Central,Loamy,Rabi,7062,103,Sprinkler,Medium,Medium,188,1.8,Cotton,23,0.35,Well
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,Southern,Loamy,Rabi,7123,103,Sprinkler,Medium,High,160,2.0,Vegetables,24,0.32,Rain
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,Northern,Sandy Loam,Kharif,2993,109,Sprinkler,Medium,High,187,3.1,Vegetables,23,0.32,Canal
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,Northern,Loamy,Kharif,5444,81,Sprinkler,Medium,High,179,1.4,Vegetables,24,0.16,Rain
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,Southern,Loamy,Rabi,4336,81,Sprinkler,Low,Medium,126,1.4,Rice,22,0.15,Canal
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,Central,Loamy,Rabi,3463,98,Flood,Medium,High,122,3.4,Cotton,21,0.16,Well
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,Central,Sandy Loam,Kharif,2540,110,Sprinkler,Low,High,121,2.9,Pulses,22,0.3,Rain
66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943,maize,Southern,Sandy Loam,Rabi,7305,108,Flood,Medium,Medium,143,2.5,Cotton,18,0.18,Rain
